Series_reference,Period,Data_value,Suppressed,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3
28,2013.12,73075.8709314224,0,1,6,0,0,2,25,1
8,2020.09,73075.8709314224,0,1,6,0,0,2,8,1
52,2020.12,73075.8709314224,0,1,6,0,1,2,29,1
47,2020.12,73075.8709314224,0,1,6,0,1,2,6,2
34,2017.03,73075.8709314224,0,1,6,0,0,2,4,1
21,2020.12,73075.8709314224,0,1,6,0,0,2,11,2
26,2016.06,73075.8709314224,0,1,6,0,0,2,1,1
16,2019.09,73075.8709314224,0,1,6,0,0,2,32,1
44,2013.12,73075.8709314224,0,1,6,0,1,2,33,1
45,2017.03,73075.8709314224,0,1,6,0,1,2,33,2
28,2017.09,73075.8709314224,0,1,6,0,0,2,25,1
70,2013.06,73075.8709314224,0,1,6,0,1,2,28,1
28,2017.06,73075.8709314224,0,1,6,0,0,2,25,1
39,2020.03,73075.8709314224,0,1,6,0,0,2,31,2
44,2019.06,73075.8709314224,0,1,6,0,1,2,33,1
71,2019.06,73075.8709314224,0,1,6,0,1,2,28,2
23,2012.12,73075.8709314224,0,1,6,0,0,2,26,2
13,2019.03,73075.8709314224,0,1,6,0,0,2,27,2
57,2015.03,73075.8709314224,0,1,6,0,1,2,34,2
57,2016.09,73075.8709314224,0,1,6,0,1,2,34,2
57,2017.06,73075.8709314224,0,1,6,0,1,2,34,2
43,2014.03,73075.8709314224,0,1,6,0,1,2,5,2
65,2015.06,73075.8709314224,0,1,6,0,1,2,35,2
47,2012.06,73075.8709314224,0,1,6,0,1,2,6,2
67,2020.06,73075.8709314224,0,1,6,0,1,2,7,2
59,2014.09,73075.8709314224,0,1,6,0,1,2,30,2
46,2016.06,73075.8709314224,0,1,6,0,1,2,6,1
52,2012.06,73075.8709314224,0,1,6,0,1,2,29,1
59,2013.06,73075.8709314224,0,1,6,0,1,2,30,2
3,2012.12,73075.8709314224,0,1,6,0,0,2,19,2
66,2011.09,73075.8709314224,0,1,6,0,1,2,7,1
23,2014.12,73075.8709314224,0,1,6,0,0,2,26,2
15,2019.09,73075.8709314224,0,1,6,0,0,2,0,2
10,2015.06,73075.8709314224,0,1,6,0,0,2,36,1
26,2018.12,73075.8709314224,0,1,6,0,0,2,1,1
42,2016.03,73075.8709314224,0,1,6,0,1,2,5,1
70,2014.06,73075.8709314224,0,1,6,0,1,2,28,1
12,2018.09,73075.8709314224,0,1,6,0,0,2,27,1
51,2020.06,73075.8709314224,0,1,6,0,1,2,13,2
8,2018.12,73075.8709314224,0,1,6,0,0,2,8,1
63,2015.06,73075.8709314224,0,1,6,0,1,2,18,2
20,2011.12,73075.8709314224,0,1,6,0,0,2,11,1
60,2017.12,73075.8709314224,0,1,6,0,1,2,20,1
7,2017.12,73075.8709314224,0,1,6,0,0,2,10,2
34,2011.06,73075.8709314224,0,1,6,0,0,2,4,1
27,2016.12,73075.8709314224,0,1,6,0,0,2,1,2
30,2017.12,73075.8709314224,0,1,6,0,0,2,9,1
26,2017.03,73075.8709314224,0,1,6,0,0,2,1,1
49,2013.12,73075.8709314224,0,1,6,0,1,2,12,2
59,2013.09,73075.8709314224,0,1,6,0,1,2,30,2
5,2017.09,73075.8709314224,0,1,6,0,0,2,17,2
37,2017.06,73075.8709314224,0,1,6,0,0,2,23,2
52,2012.09,73075.8709314224,0,1,6,0,1,2,29,1
11,2016.06,73075.8709314224,0,1,6,0,0,2,36,2
68,2019.03,73075.8709314224,0,1,6,0,1,2,22,1
26,2018.03,73075.8709314224,0,1,6,0,0,2,1,1
2,2012.12,73075.8709314224,0,1,6,0,0,2,19,1
34,2016.03,73075.8709314224,0,1,6,0,0,2,4,1
55,2019.06,73075.8709314224,0,1,6,0,1,2,16,2
15,2020.06,73075.8709314224,0,1,6,0,0,2,0,2
6,2019.06,73075.8709314224,0,1,6,0,0,2,10,1
28,2019.06,73075.8709314224,0,1,6,0,0,2,25,1
7,2015.09,73075.8709314224,0,1,6,0,0,2,10,2
62,2012.03,73075.8709314224,0,1,6,0,1,2,18,1
41,2013.12,73075.8709314224,0,1,6,0,1,2,21,2
26,2013.09,73075.8709314224,0,1,6,0,0,2,1,1
10,2017.12,73075.8709314224,0,1,6,0,0,2,36,1
12,2012.06,73075.8709314224,0,1,6,0,0,2,27,1
37,2013.03,73075.8709314224,0,1,6,0,0,2,23,2
46,2020.03,73075.8709314224,0,1,6,0,1,2,6,1
71,2018.03,73075.8709314224,0,1,6,0,1,2,28,2
37,2019.03,73075.8709314224,0,1,6,0,0,2,23,2
60,2011.12,73075.8709314224,0,1,6,0,1,2,20,1
70,2016.09,73075.8709314224,0,1,6,0,1,2,28,1
16,2018.12,73075.8709314224,0,1,6,0,0,2,32,1
49,2020.12,73075.8709314224,0,1,6,0,1,2,12,2
49,2018.09,73075.8709314224,0,1,6,0,1,2,12,2
35,2019.06,73075.8709314224,0,1,6,0,0,2,4,2
21,2011.12,73075.8709314224,0,1,6,0,0,2,11,2
8,2019.03,73075.8709314224,0,1,6,0,0,2,8,1
66,2020.03,73075.8709314224,0,1,6,0,1,2,7,1
74,2016.06,73075.8709314224,0,0,0,0,2,1,3,0
32,2014.03,73075.8709314224,0,1,6,0,0,2,14,1
7,2012.09,73075.8709314224,0,1,6,0,0,2,10,2
59,2018.03,73075.8709314224,0,1,6,0,1,2,30,2
37,2015.12,73075.8709314224,0,1,6,0,0,2,23,2
39,2011.06,73075.8709314224,0,1,6,0,0,2,31,2
33,2018.09,73075.8709314224,0,1,6,0,0,2,14,2
0,2015.12,73075.8709314224,0,1,6,0,0,2,2,1
15,2018.06,73075.8709314224,0,1,6,0,0,2,0,2
16,2016.03,73075.8709314224,0,1,6,0,0,2,32,1
40,2020.06,73075.8709314224,0,1,6,0,1,2,21,1
54,2014.03,73075.8709314224,0,1,6,0,1,2,16,1
26,2014.09,73075.8709314224,0,1,6,0,0,2,1,1
74,2014.12,73075.8709314224,0,0,0,0,2,1,3,0
35,2018.12,73075.8709314224,0,1,6,0,0,2,4,2
68,2016.06,73075.8709314224,0,1,6,0,1,2,22,1
66,2020.06,73075.8709314224,0,1,6,0,1,2,7,1
63,2013.03,73075.8709314224,0,1,6,0,1,2,18,2
24,2013.09,73075.8709314224,0,1,6,0,0,2,24,1
27,2011.06,73075.8709314224,0,1,6,0,0,2,1,2
33,2012.09,73075.8709314224,0,1,6,0,0,2,14,2
48,2016.12,73075.8709314224,0,1,6,0,1,2,12,1
49,2017.12,73075.8709314224,0,1,6,0,1,2,12,2
17,2015.09,73075.8709314224,0,1,6,0,0,2,32,2
24,2012.12,73075.8709314224,0,1,6,0,0,2,24,1
35,2017.06,73075.8709314224,0,1,6,0,0,2,4,2
61,2017.12,73075.8709314224,0,1,6,0,1,2,20,2
31,2016.06,73075.8709314224,0,1,6,0,0,2,9,2
5,2017.06,73075.8709314224,0,1,6,0,0,2,17,2
15,2015.06,73075.8709314224,0,1,6,0,0,2,0,2
25,2015.03,73075.8709314224,0,1,6,0,0,2,24,2
53,2016.12,73075.8709314224,0,1,6,0,1,2,29,2
7,2018.12,73075.8709314224,0,1,6,0,0,2,10,2
1,2014.09,73075.8709314224,0,1,6,0,0,2,2,2
51,2017.03,73075.8709314224,0,1,6,0,1,2,13,2
44,2020.12,73075.8709314224,0,1,6,0,1,2,33,1
66,2012.12,73075.8709314224,0,1,6,0,1,2,7,1
48,2015.09,73075.8709314224,0,1,6,0,1,2,12,1
28,2020.03,73075.8709314224,0,1,6,0,0,2,25,1
59,2014.12,73075.8709314224,0,1,6,0,1,2,30,2
8,2019.06,73075.8709314224,0,1,6,0,0,2,8,1
21,2016.06,73075.8709314224,0,1,6,0,0,2,11,2
64,2016.12,73075.8709314224,0,1,6,0,1,2,35,1
71,2016.12,73075.8709314224,0,1,6,0,1,2,28,2
59,2014.06,73075.8709314224,0,1,6,0,1,2,30,2
46,2019.06,73075.8709314224,0,1,6,0,1,2,6,1
16,2017.03,73075.8709314224,0,1,6,0,0,2,32,1
64,2011.09,73075.8709314224,0,1,6,0,1,2,35,1
26,2012.06,73075.8709314224,0,1,6,0,0,2,1,1
67,2018.12,73075.8709314224,0,1,6,0,1,2,7,2
32,2013.03,73075.8709314224,0,1,6,0,0,2,14,1
48,2017.12,73075.8709314224,0,1,6,0,1,2,12,1
34,2020.06,73075.8709314224,0,1,6,0,0,2,4,1
24,2014.09,73075.8709314224,0,1,6,0,0,2,24,1
36,2016.12,73075.8709314224,0,1,6,0,0,2,23,1
4,2020.06,73075.8709314224,0,1,6,0,0,2,17,1
20,2016.09,73075.8709314224,0,1,6,0,0,2,11,1
4,2015.12,73075.8709314224,0,1,6,0,0,2,17,1
2,2013.03,73075.8709314224,0,1,6,0,0,2,19,1
42,2020.09,73075.8709314224,0,1,6,0,1,2,5,1
48,2013.12,73075.8709314224,0,1,6,0,1,2,12,1
57,2017.12,73075.8709314224,0,1,6,0,1,2,34,2
9,2011.06,73075.8709314224,0,1,6,0,0,2,8,2
17,2012.09,73075.8709314224,0,1,6,0,0,2,32,2
25,2014.03,73075.8709314224,0,1,6,0,0,2,24,2
3,2014.03,73075.8709314224,0,1,6,0,0,2,19,2
8,2018.06,73075.8709314224,0,1,6,0,0,2,8,1
0,2013.03,73075.8709314224,0,1,6,0,0,2,2,1
26,2016.03,73075.8709314224,0,1,6,0,0,2,1,1
22,2019.09,73075.8709314224,0,1,6,0,0,2,26,1
46,2013.12,73075.8709314224,0,1,6,0,1,2,6,1
33,2014.03,73075.8709314224,0,1,6,0,0,2,14,2
7,2019.12,73075.8709314224,0,1,6,0,0,2,10,2
20,2019.06,73075.8709314224,0,1,6,0,0,2,11,1
16,2014.09,73075.8709314224,0,1,6,0,0,2,32,1
9,2019.06,73075.8709314224,0,1,6,0,0,2,8,2
42,2014.06,73075.8709314224,0,1,6,0,1,2,5,1
61,2015.03,73075.8709314224,0,1,6,0,1,2,20,2
67,2016.06,73075.8709314224,0,1,6,0,1,2,7,2
63,2017.09,73075.8709314224,0,1,6,0,1,2,18,2
31,2014.06,73075.8709314224,0,1,6,0,0,2,9,2
4,2016.09,73075.8709314224,0,1,6,0,0,2,17,1
10,2020.06,73075.8709314224,0,1,6,0,0,2,36,1
12,2017.12,73075.8709314224,0,1,6,0,0,2,27,1
4,2018.03,73075.8709314224,0,1,6,0,0,2,17,1
29,2012.06,73075.8709314224,0,1,6,0,0,2,25,2
30,2020.12,73075.8709314224,0,1,6,0,0,2,9,1
4,2018.06,73075.8709314224,0,1,6,0,0,2,17,1
68,2015.06,73075.8709314224,0,1,6,0,1,2,22,1
31,2016.09,73075.8709314224,0,1,6,0,0,2,9,2
59,2011.12,73075.8709314224,0,1,6,0,1,2,30,2
53,2014.03,73075.8709314224,0,1,6,0,1,2,29,2
20,2018.12,73075.8709314224,0,1,6,0,0,2,11,1
24,2017.09,73075.8709314224,0,1,6,0,0,2,24,1
65,2018.03,73075.8709314224,0,1,6,0,1,2,35,2
59,2012.12,73075.8709314224,0,1,6,0,1,2,30,2
58,2012.06,73075.8709314224,0,1,6,0,1,2,30,1
34,2013.06,73075.8709314224,0,1,6,0,0,2,4,1
12,2016.09,73075.8709314224,0,1,6,0,0,2,27,1
44,2019.12,73075.8709314224,0,1,6,0,1,2,33,1
66,2014.12,73075.8709314224,0,1,6,0,1,2,7,1
17,2018.03,73075.8709314224,0,1,6,0,0,2,32,2
65,2018.12,73075.8709314224,0,1,6,0,1,2,35,2
64,2013.06,73075.8709314224,0,1,6,0,1,2,35,1
41,2014.06,73075.8709314224,0,1,6,0,1,2,21,2
19,2015.03,73075.8709314224,0,1,6,0,0,2,15,2
65,2014.09,73075.8709314224,0,1,6,0,1,2,35,2
49,2011.09,73075.8709314224,0,1,6,0,1,2,12,2
46,2015.03,73075.8709314224,0,1,6,0,1,2,6,1
3,2011.09,73075.8709314224,0,1,6,0,0,2,19,2
51,2017.09,73075.8709314224,0,1,6,0,1,2,13,2
30,2020.06,73075.8709314224,0,1,6,0,0,2,9,1
7,2013.06,73075.8709314224,0,1,6,0,0,2,10,2
63,2019.03,73075.8709314224,0,1,6,0,1,2,18,2
26,2015.12,73075.8709314224,0,1,6,0,0,2,1,1
56,2017.06,73075.8709314224,0,1,6,0,1,2,34,1
68,2011.06,73075.8709314224,0,1,6,0,1,2,22,1
27,2020.06,73075.8709314224,0,1,6,0,0,2,1,2
22,2017.03,73075.8709314224,0,1,6,0,0,2,26,1
40,2017.12,73075.8709314224,0,1,6,0,1,2,21,1
49,2018.03,73075.8709314224,0,1,6,0,1,2,12,2
28,2014.09,73075.8709314224,0,1,6,0,0,2,25,1
37,2012.12,73075.8709314224,0,1,6,0,0,2,23,2
51,2014.06,73075.8709314224,0,1,6,0,1,2,13,2
18,2015.06,73075.8709314224,0,1,6,0,0,2,15,1
9,2015.03,73075.8709314224,0,1,6,0,0,2,8,2
69,2020.06,73075.8709314224,0,1,6,0,1,2,22,2
58,2014.12,73075.8709314224,0,1,6,0,1,2,30,1
14,2013.09,73075.8709314224,0,1,6,0,0,2,0,1
41,2014.09,73075.8709314224,0,1,6,0,1,2,21,2
36,2019.09,73075.8709314224,0,1,6,0,0,2,23,1
7,2019.03,73075.8709314224,0,1,6,0,0,2,10,2
49,2015.09,73075.8709314224,0,1,6,0,1,2,12,2
5,2013.06,73075.8709314224,0,1,6,0,0,2,17,2
31,2016.03,73075.8709314224,0,1,6,0,0,2,9,2
23,2020.03,73075.8709314224,0,1,6,0,0,2,26,2
54,2013.09,73075.8709314224,0,1,6,0,1,2,16,1
3,2012.03,73075.8709314224,0,1,6,0,0,2,19,2
7,2013.12,73075.8709314224,0,1,6,0,0,2,10,2
25,2012.06,73075.8709314224,0,1,6,0,0,2,24,2
31,2018.03,73075.8709314224,0,1,6,0,0,2,9,2
14,2018.09,73075.8709314224,0,1,6,0,0,2,0,1
43,2013.03,73075.8709314224,0,1,6,0,1,2,5,2
50,2014.12,73075.8709314224,0,1,6,0,1,2,13,1
65,2013.12,73075.8709314224,0,1,6,0,1,2,35,2
51,2016.06,73075.8709314224,0,1,6,0,1,2,13,2
60,2020.12,73075.8709314224,0,1,6,0,1,2,20,1
7,2011.12,73075.8709314224,0,1,6,0,0,2,10,2
32,2020.03,73075.8709314224,0,1,6,0,0,2,14,1
6,2016.12,73075.8709314224,0,1,6,0,0,2,10,1
9,2013.09,73075.8709314224,0,1,6,0,0,2,8,2
38,2015.03,73075.8709314224,0,1,6,0,0,2,31,1
49,2017.03,73075.8709314224,0,1,6,0,1,2,12,2
37,2019.09,73075.8709314224,0,1,6,0,0,2,23,2
15,2016.03,73075.8709314224,0,1,6,0,0,2,0,2
24,2019.09,73075.8709314224,0,1,6,0,0,2,24,1
32,2016.06,73075.8709314224,0,1,6,0,0,2,14,1
50,2015.09,73075.8709314224,0,1,6,0,1,2,13,1
16,2012.09,73075.8709314224,0,1,6,0,0,2,32,1
56,2017.12,73075.8709314224,0,1,6,0,1,2,34,1
51,2013.12,73075.8709314224,0,1,6,0,1,2,13,2
66,2016.03,73075.8709314224,0,1,6,0,1,2,7,1
7,2014.09,73075.8709314224,0,1,6,0,0,2,10,2
37,2011.09,73075.8709314224,0,1,6,0,0,2,23,2
53,2017.06,73075.8709314224,0,1,6,0,1,2,29,2
7,2018.03,73075.8709314224,0,1,6,0,0,2,10,2
39,2017.03,73075.8709314224,0,1,6,0,0,2,31,2
34,2013.12,73075.8709314224,0,1,6,0,0,2,4,1
31,2014.09,73075.8709314224,0,1,6,0,0,2,9,2
10,2019.09,73075.8709314224,0,1,6,0,0,2,36,1
56,2012.12,73075.8709314224,0,1,6,0,1,2,34,1
41,2018.09,73075.8709314224,0,1,6,0,1,2,21,2
52,2017.06,73075.8709314224,0,1,6,0,1,2,29,1
